age,gender,country,mascu_sec,working,gnorm_executives,gnorm_nurses,competitiveness,risk_tolerance,depression_score,cgi,male,rand
27,Male,UK,0,1,Agree,Strongly agree,9,8,2.25,10,1,.61017543
26,Female,USA,,1,Agree,Strongly agree,9,7,2,2,0,.83073515
29,Male,UK,0,1,Agree,Strongly agree,9,5,2,10,1,.8295058
31,Female,USA,,0,Strongly agree,Strongly agree,9,6,4.25,2,0,.57763427
40,Female,USA,0,1,Strongly agree,Strongly agree,7,5,2,1,0,.70440722
54,Female,USA,,0,Strongly agree,Strongly agree,0,1,2.25,2,0,.59230947
60,Female,UK,,0,,,5,5,5,5,0,.72929889
30,Male,UK,0,1,Disagree,Agree,7,5,2.5,8,1,.52600425
59,Male,UK,0,1,Disagree,Strongly agree,0,1,4.75,10,1,.67908788
49,Male,USA,1,1,Disagree,Disagree,6,5,4.75,9,1,.84437138
25,Male,UK,0,1,Agree,Agree,10,9,3.5,7,1,.98503655
34,Male,USA,0,1,Strongly agree,Strongly agree,10,9,3,8,1,.87632835
55,Female,USA,1,1,Strongly agree,Strongly agree,10,9,1.75,0,0,.59441078
40,Male,UK,0,1,Strongly agree,Strongly agree,9,10,2.25,10,1,.73267138
48,Male,UK,0,1,Strongly agree,Strongly agree,8,7,1.5,7,1,.51886308
56,Female,UK,0,1,Strongly agree,Strongly agree,1,3,4,2,0,.77962208
31,Female,USA,1,1,Agree,Strongly agree,10,10,3.5,0,0,.72674888
59,Female,UK,,0,Strongly agree,Strongly agree,7,1,5,3,0,.8962273
52,Male,USA,1,1,Strongly agree,Strongly agree,4,5,1.5,6,1,.823102
33,Male,USA,0,1,Agree,Disagree,10,7,1,10,1,.98214549
35,Female,USA,0,1,Strongly agree,Agree,8,7,2.5,3,0,.6173048
30,Female,UK,0,1,Agree,Agree,6,8,2.5,4,0,.88755506
25,Male,USA,0,1,,,5,5,1.5,10,1,.56383973
62,Female,UK,0,1,Strongly agree,Strongly agree,3,7,2.75,2,0,.98946285
31,Female,USA,1,1,Agree,Agree,10,9,3,0,0,.88786137
38,Male,UK,0,1,Strongly agree,Strongly agree,7,6,3,6,1,.69566053
55,Female,UK,,0,Strongly agree,Agree,0,1,2.25,2,0,.82109588
31,Male,UK,0,1,Agree,Strongly agree,8,6,2.5,4,1,.65786868
58,Female,UK,0,1,Agree,Agree,0,9,1.25,0,0,.79393703
60,Female,UK,0,1,Strongly agree,Agree,3,3,4.75,5,0,.7564466
22,Male,USA,0,1,Disagree,Strongly agree,10,7,2.25,8,1,.90578073
53,Male,USA,0,1,Strongly agree,Strongly agree,7,5,2.25,7,1,.79349017
62,Female,UK,0,1,Agree,Strongly agree,6,3,1.25,3,0,.55742484
63,Female,USA,0,1,Strongly disagree,Strongly agree,2,5,1.75,3,0,.9577052
40,Female,USA,,1,Strongly disagree,Strongly agree,5,5,4.25,0,0,.85685474
62,Female,USA,,0,Strongly agree,Strongly agree,0,10,1,0,0,.67705506
59,Female,USA,,0,Strongly agree,Agree,7,5,2,1,0,.90925121
44,Female,USA,0,1,Strongly agree,Strongly agree,8,4,4,5,0,.75557888
60,Female,UK,,0,,Strongly agree,2,2,1.5,4,0,.64760417
63,Female,UK,0,1,Agree,Strongly agree,5,3,1.5,4,0,.55607861
40,Female,USA,,0,Agree,Strongly agree,0,2,4.75,0,0,.75723076
51,Female,USA,0,1,,Strongly agree,5,5,4,6,0,.50130433
57,Female,USA,,0,Agree,Agree,5,1,1,5,0,.68163669
48,Female,UK,0,1,Strongly agree,Strongly agree,6,3,1.75,1,0,.92913401
57,Female,UK,,0,Agree,Agree,8,8,4,1,0,.83855313
50,Female,USA,0,1,Agree,Disagree,7,5,2.25,3,0,.54788196
60,Female,USA,,0,Strongly agree,Strongly agree,5,4,2,3,0,.92730439
52,Female,UK,0,1,Agree,Disagree,5,4,2,3,0,.89294887
51,Female,USA,1,1,Strongly disagree,Strongly agree,10,10,2,7,0,.55817384
54,Male,UK,,0,Strongly agree,Agree,7,7,2.25,8,1,.8103134
31,Female,USA,1,1,Agree,Agree,10,8,3.5,0,0,.93132591
26,Female,UK,0,1,Strongly agree,Strongly agree,9,10,2.75,0,0,.82357222
30,Male,USA,1,1,Agree,Agree,10,9,4.25,10,1,.59025913
56,Male,USA,1,1,Strongly agree,Strongly agree,10,8,1.25,9,1,.85574114
