age,gender,country,mascu_sec,working,gnorm_executives,gnorm_nurses,competitiveness,risk_tolerance,depression_score,cgi,male,rand
43,Male,South Africa,1,1,Agree,Agree,3,6,1.75,7,1,.50294483
18,Female,South Africa,,0,Agree,Agree,2,10,3,0,0,.74478841
43,Female,Turkey,,0,Strongly agree,Agree,10,10,2,2,0,.9557392
32,Male,Italy,0,1,Strongly agree,,7,2,2.5,7,1,.51885378
30,Female,South Africa,1,1,Agree,Strongly agree,10,10,2.5,0,0,.69782311
25,Male,South Africa,,0,Disagree,Strongly agree,9,4,2.75,10,1,.54567009
37,Male,Germany,0,1,Strongly agree,Strongly agree,10,9,3,9,1,.65613306
32,Male,Italy,0,1,Strongly agree,Strongly agree,2,1,4,6,1,.96551853
23,Female,South Africa,,0,Agree,Disagree,8,10,3.75,0,0,.60357928
51,Male,Greece,0,1,Agree,Agree,8,9,2.25,10,1,.96708959
33,Male,Mexico,0,1,Strongly agree,Agree,8,7,1.5,7,1,.69689029
26,Male,Turkey,,0,Disagree,Agree,7,9,1.5,7,1,.89413697
34,Female,South Africa,0,1,Agree,Agree,7,8,2.75,5,0,.51532185
24,Male,Italy,,0,Agree,Agree,8,7,3.5,7,1,.80583751
35,Male,Australia,1,1,Agree,Agree,8,8,1.75,5,1,
42,Female,South Africa,0,1,Strongly agree,Strongly agree,3,10,2.75,0,0,.82815051
25,Female,South Africa,,0,Agree,Agree,9,4,3.5,0,0,.92319965
20,Female,Brazil,,1,Strongly agree,Strongly agree,9,4,3.75,1,0,.98847741
29,Female,Mexico,,0,Agree,Disagree,5,3,2.25,4,0,.71375543
22,Female,South Africa,,0,Strongly agree,Strongly agree,8,9,2.75,6,0,.69479448
32,Male,Italy,0,1,Strongly agree,Strongly agree,8,8,2.25,6,1,.9907431
23,Female,South Africa,,0,Strongly agree,Agree,7,7,2,0,0,.67671174
32,Male,Italy,,0,Strongly agree,Strongly agree,6,1,1.75,9,1,.9287501
29,Female,Argentina,0,1,Strongly agree,Agree,10,6,2.5,1,0,.79776239
44,Female,Turkey,0,1,Strongly agree,Strongly agree,7,7,3.75,1,0,.92693305
32,Female,Brazil,,0,Strongly agree,Strongly agree,7,4,4.25,5,0,.93005037
49,Male,Greece,1,1,Agree,Disagree,8,8,2,8,1,.82117909
46,Male,Taiwan,,0,Strongly agree,Strongly agree,0,3,3,9,1,.78517628
45,Male,Japan,0,1,Strongly agree,Agree,8,7,2.75,7,1,.82481009
30,Male,Italy,0,1,Strongly agree,Strongly agree,5,6,1.75,6,1,.92575526
27,Male,Italy,0,1,Agree,Agree,7,2,3.75,10,1,.5684557
32,Male,Finland,,0,Agree,Agree,3,3,2.75,7,1,.63408345
25,Male,Finland,0,1,Disagree,Disagree,7,5,3.25,7,1,.71651429
39,Male,Australia,1,1,Strongly agree,Strongly agree,10,3,2.25,8,1,
50,Male,Czech Republic,0,1,Agree,Disagree,5,3,1.75,5,1,.69632608
31,Male,Austria,0,1,Disagree,Agree,10,10,1.25,10,1,.58400798
26,Male,Austria,0,1,Strongly agree,Strongly agree,10,5,2,3,1,.64357603
23,Female,Turkey,0,1,Strongly agree,Strongly agree,8,7,2,3,0,.64520919
29,Female,Australia,,1,Strongly agree,Strongly agree,5,3,2.25,2,0,.7901805
33,Male,Denmark,0,1,Agree,Agree,7,6,2.25,7,1,.57251364
52,Female,Turkey,,0,Agree,Agree,6,2,2.5,0,0,.98266351
33,Female,Spain,0,1,Strongly agree,Strongly agree,10,2,2.75,5,0,.79481941
29,Male,France,1,1,Strongly agree,Strongly agree,8,4,2.5,6,1,.64075285
20,Male,Italy,0,1,Agree,Agree,7,7,3,7,1,.69951129
32,Male,Netherlands,0,1,Agree,Strongly agree,7,5,1.5,6,1,.72497696
23,Female,Turkey,,0,Disagree,Agree,9,9,3.5,1,0,.62756497
48,Male,Australia,,0,Strongly agree,Strongly agree,5,4,3.5,7,1,
32,Male,Norway,1,1,Agree,Disagree,7,8,1.25,8,1,.82165706
25,Male,Germany,,0,Strongly agree,Agree,8,8,3.75,10,1,.71949434
31,Female,Mexico,,1,Agree,Agree,10,8,4,3,0,.70323825
22,Female,Chile,,0,Disagree,Disagree,4,9,3.5,3,0,.55079615
19,Female,Chile,,0,Strongly agree,Strongly agree,8,5,4.25,3,0,.75835466
31,Male,France,1,1,Strongly agree,Strongly disagree,8,7,3.5,8,1,.87747121
24,Female,Chile,,0,Strongly agree,Strongly agree,0,5,4.25,0,0,.8956275
19,Male,Chile,,1,Agree,Disagree,7,8,4.25,10,1,.85485893
37,Female,Turkey,0,1,Strongly agree,Strongly agree,6,7,2,0,0,.57975751
48,Female,Australia,,0,Agree,Agree,0,2,2.25,2,0,.64723146
30,Male,Mexico,1,1,Strongly agree,Strongly agree,9,10,1.5,10,1,.91723245
34,Male,Turkey,1,1,Agree,Agree,10,9,3.75,10,1,.93101239
26,Female,Mexico,0,1,Agree,Strongly agree,8,9,2.25,4,0,.94786191
37,Female,Greece,,0,Agree,Strongly agree,7,8,2.25,2,0,.56486791
24,Female,Mexico,0,1,Strongly agree,Strongly agree,5,5,3.5,1,0,.74530029
29,Male,France,1,1,Strongly agree,Strongly agree,7,8,2.75,8,1,.68483549
19,Female,Chile,,0,Strongly agree,Strongly agree,6,6,2,2,0,.99282092
49,Male,Turkey,0,1,Agree,Strongly agree,8,8,2,5,1,.5790832
56,Female,Greece,,0,Agree,Agree,10,1,4.75,1,0,.69998699
56,Female,Spain,0,1,Strongly agree,Strongly agree,5,1,4,1,0,.95165014
61,Male,Italy,0,1,Strongly agree,Agree,10,7,2,10,1,.57283002
32,Male,Italy,0,1,Strongly agree,Agree,8,7,2,10,1,.88366282
29,Male,Spain,0,1,Strongly agree,Strongly agree,7,7,2.25,5,1,.59107596
36,Male,Australia,0,1,Strongly agree,Agree,7,7,4,5,1,
38,Male,Turkey,1,1,Agree,Agree,8,7,3.5,10,1,.78054249
19,Female,Mexico,,0,Strongly agree,Strongly agree,9,7,2.75,5,0,.82342798
23,Male,Mexico,0,1,Disagree,Disagree,10,8,3,8,1,.69021493
38,Male,Romania,1,1,Agree,Agree,8,6,1.5,10,1,.95632124
25,Male,Spain,,0,Strongly agree,Strongly agree,7,7,3.75,7,1,.83233488
28,Male,Norway,0,1,Agree,Agree,7,7,2,7,1,.74726695
56,Male,Romania,1,1,Agree,Strongly agree,10,10,1.75,10,1,.90640599
18,Female,Mexico,,0,Strongly agree,Strongly agree,10,6,5,0,0,.91610509
25,Male,Italy,1,1,Agree,Agree,8,8,3.5,9,1,.79586476
45,Male,Australia,0,1,,Strongly agree,8,8,2,7,1,
48,Female,Turkey,,0,Agree,Disagree,7,5,3,2,0,.58940434
31,Male,Italy,0,1,Strongly agree,Strongly disagree,4,3,2,10,1,.54936188
25,Male,Mexico,0,1,Strongly agree,Agree,10,10,2,8,1,.50250071
54,Female,Japan,,0,Strongly agree,Disagree,2,3,2.75,5,0,.50792009
30,Male,France,0,1,Strongly agree,Strongly agree,8,9,2.5,10,1,.59168315
29,Male,Chile,,0,Strongly agree,Strongly agree,8,6,3.75,7,1,.87770271
33,Male,Norway,1,1,Disagree,Strongly disagree,9,9,1.5,8,1,.9276799
45,Male,Australia,,0,Agree,Agree,7,6,3.25,7,1,
28,Male,Germany,1,1,Agree,Strongly agree,8,5,3.5,7,1,.58957082
22,Male,Mexico,,0,Strongly agree,Strongly agree,8,10,1.75,10,1,.84972715
22,Female,Mexico,0,1,Strongly agree,Strongly agree,8,7,3.5,2,0,.72683853
25,Male,Mexico,,1,Strongly agree,Agree,8,8,3.75,7,1,.78129458
47,Male,Australia,0,1,Agree,Agree,8,7,3,7,1,
29,Male,Germany,0,1,Agree,Strongly agree,7,8,3,8,1,.81002039
58,Male,Greece,0,1,Agree,Strongly agree,10,1,1.5,10,1,.89317966
32,Female,Italy,,0,Strongly agree,Strongly agree,0,5,4.75,0,0,.57748765
23,Female,Turkey,,0,Strongly agree,Strongly agree,10,10,2,0,0,.75452149
29,Male,Sweden,,0,Agree,Agree,5,5,1.75,5,1,.57952338
27,Female,Romania,0,1,Strongly agree,Agree,7,8,3.75,3,0,.60914451
41,Male,UK,1,1,Agree,Agree,7,7,1.25,7,1,.56720257
33,Female,Brazil,0,1,Agree,Strongly agree,2,3,4.25,1,0,.68605441
20,Male,Austria,1,1,Agree,Disagree,5,5,3,5,1,.85803628
27,Male,Spain,0,1,Strongly agree,Strongly agree,9,6,1.5,7,1,.66578025
39,Male,Turkey,0,1,Strongly agree,Agree,8,10,2.25,10,1,.5237639
30,Male,Argentina,,0,Disagree,Agree,10,5,1.75,5,1,.63997138
24,Male,Australia,,0,Disagree,Disagree,5,3,2.25,9,1,
20,Female,Chile,,0,Disagree,Disagree,7,8,4.5,2,0,.89115077
26,Female,Turkey,0,1,Strongly agree,Agree,8,7,3.5,2,0,.76401091
33,Male,Italy,0,1,Strongly agree,Strongly agree,6,3,4,8,1,.70938474
53,Male,Australia,0,1,Strongly agree,Strongly agree,1,2,3,8,1,
24,Male,Spain,0,1,Strongly agree,Strongly agree,8,4,4.25,6,1,.97551596
33,Male,Italy,0,1,Agree,Strongly agree,10,8,2,7,1,.75650597
25,Male,Mexico,0,1,Strongly agree,Agree,7,4,2.75,7,1,.64774811
29,Female,Mexico,,0,Strongly agree,Strongly disagree,10,7,2.75,0,0,.57644451
37,Female,Turkey,,0,Strongly agree,Agree,7,1,3.5,0,0,.62551892
37,Male,Turkey,0,1,Strongly agree,Agree,6,6,3,7,1,.76002318
52,Male,Romania,,0,,Agree,10,1,3.75,10,1,.57864666
31,Female,Turkey,,0,Strongly agree,Strongly agree,10,10,5,0,0,.74808764
23,Male,Spain,,0,Agree,,6,6,3,8,1,.72770178
22,Female,Chile,0,1,Strongly agree,Strongly agree,9,10,1.75,0,0,.54508078
46,Male,Turkey,0,1,Agree,Agree,10,10,4,10,1,.55192846
43,Male,Turkey,0,1,Strongly disagree,Disagree,8,8,1.75,10,1,.62921095
36,Male,Czech Republic,0,1,Strongly agree,Agree,9,5,2.5,5,1,.90427482
30,Female,Chile,0,1,Strongly agree,Strongly agree,8,7,3.5,2,0,.74753541
32,Female,Mexico,,0,Agree,Agree,5,5,2,4,0,.87203902
22,Female,Chile,,0,Strongly agree,Agree,5,10,4.75,0,0,.98235756
32,Male,Mexico,1,1,Agree,Agree,8,7,2,7,1,.50205076
31,Male,Spain,0,1,Strongly agree,Agree,6,7,1.5,7,1,.54095387
32,Male,Argentina,,1,Agree,Strongly agree,6,6,2.5,6,1,.66391784
31,Male,Norway,1,1,Disagree,Agree,9,8,1.25,8,1,.84110433
22,Female,Turkey,0,1,Strongly agree,Disagree,10,10,2,0,0,.68374902
27,Male,Sweden,0,1,Disagree,Agree,5,5,2.5,5,1,.65470153
29,Male,Austria,0,1,Strongly agree,Strongly agree,6,4,1.5,5,1,.58844143
46,Male,Turkey,1,1,Agree,Agree,8,7,2,7,1,.81865966
46,Male,Turkey,0,1,Strongly agree,Agree,9,7,2,9,1,.93958861
24,Male,Finland,,0,Strongly agree,Agree,8,8,3,7,1,.80733925
19,Female,Chile,,0,Strongly agree,Strongly disagree,5,10,2,5,0,.93247235
31,Female,Chile,0,1,Strongly agree,Strongly agree,2,2,2.25,0,0,.73788804
43,Male,Turkey,1,1,Agree,Agree,10,8,1,10,1,.93611157
24,Male,Finland,1,1,Strongly agree,Agree,5,10,3,7,1,.93792951
27,Female,Chile,0,1,Strongly agree,Strongly agree,10,7,2.5,2,0,.79693657
31,Male,Italy,0,1,Agree,Agree,7,5,1.25,8,1,.86242306
31,Male,Germany,0,1,Agree,Agree,10,9,1.75,9,1,.96175116
25,Male,Mexico,,1,Strongly agree,Agree,8,7,1.25,9,1,.50920433
52,Female,Turkey,,1,Strongly agree,Strongly agree,6,6,4.75,0,0,.5408352
60,Male,Spain,0,1,Strongly agree,Strongly agree,10,10,1,10,1,.8557862
43,Male,Greece,1,1,Agree,Strongly agree,9,8,2.25,8,1,.62135822
28,Male,Spain,,0,Strongly agree,Disagree,8,7,2.75,8,1,.58886123
28,Female,Australia,0,1,Strongly agree,Strongly agree,7,4,2,2,0,.99200207
30,Male,Sweden,1,1,Agree,Agree,6,5,2,8,1,.92802197
23,Male,Poland,,1,Agree,Disagree,7,7,2.5,8,1,.51906222
30,Male,Finland,1,1,Strongly agree,Strongly agree,8,7,1.25,8,1,.81070948
26,Female,Mexico,0,1,Strongly agree,Strongly agree,8,7,2.5,1,0,.88996816
32,Female,Mexico,0,1,Strongly disagree,Agree,10,5,2,0,0,.88794541
56,Female,Greece,,0,Strongly agree,Strongly agree,6,4,2.5,0,0,.82257962
44,Male,Turkey,0,1,Agree,Disagree,8,8,2.25,10,1,.99138957
21,Male,Italy,0,1,Strongly agree,Strongly agree,10,7,3.5,9,1,.51412112
27,Male,Sweden,0,1,Agree,Disagree,6,5,1.75,6,1,.89409178
27,Female,Chile,,0,Strongly agree,Strongly agree,5,10,4.5,4,0,.63373458
33,Male,France,0,1,Agree,Disagree,8,8,2.25,2,1,.71140349
29,Male,Portugal,0,1,Strongly agree,Agree,9,9,4.25,9,1,.6168837
49,Female,Turkey,1,1,Strongly agree,Agree,8,7,4,0,0,.59985137
40,Male,Turkey,0,1,Strongly agree,Strongly agree,8,7,3.25,9,1,.95706481
26,Male,Mexico,,1,Agree,Agree,7,8,2,9,1,.88187456
21,Male,Chile,0,1,Strongly agree,Strongly agree,10,6,1,10,1,.57488954
49,Male,Turkey,,0,Agree,Agree,5,5,1,8,1,.74105912
52,Female,Finland,,0,Agree,Strongly agree,3,3,2.25,2,0,.69453007
42,Male,Czech Republic,1,1,Agree,Strongly agree,7,5,3.5,5,1,.90650499
23,Male,Italy,,0,,,7,8,1,8,1,.93124533
25,Male,Norway,0,1,Agree,Disagree,6,7,2.75,10,1,.64712393
45,Male,South Korea,0,1,Agree,Strongly agree,6,7,1.25,7,1,.86957604
24,Female,Chile,0,1,Strongly agree,Strongly agree,7,6,1.5,4,0,.54135549
24,Female,Mexico,0,1,Strongly agree,Agree,7,8,1.75,5,0,.59356499
31,Male,Italy,,0,Strongly agree,Strongly agree,3,2,3.75,5,1,.92369139
31,Male,Austria,0,1,Strongly agree,Strongly agree,6,5,2.5,5,1,.60487217
53,Male,Taiwan,0,1,Strongly agree,Agree,10,6,3.75,5,1,.75132197
25,Male,Italy,1,1,Agree,Agree,7,7,1.5,6,1,.65900457
33,Male,Sweden,1,1,Disagree,Disagree,6,7,3,6,1,.91749758
25,Female,Mexico,,0,Strongly agree,Strongly disagree,10,8,1.5,0,0,.91755718
25,Male,Mexico,0,1,Strongly agree,Strongly agree,8,8,2.5,9,1,.94625711
61,Female,Turkey,,0,Agree,Agree,5,5,2.25,5,0,.50426048
45,Male,UK,0,1,Agree,Agree,5,4,2.25,7,1,.53589708
33,Male,Austria,0,1,Strongly agree,Agree,7,3,4.25,4,1,.68017077
19,Male,Mexico,0,1,Strongly agree,Strongly agree,8,5,1.75,10,1,.57316732
24,Female,Turkey,0,1,Strongly agree,Strongly agree,10,8,3.75,2,0,.87473249
56,Female,Turkey,0,1,Agree,Agree,3,2,1.75,0,0,.88756734
33,Female,Turkey,0,1,Agree,Agree,7,4,4,0,0,.6188423
19,Male,Spain,,0,Agree,Agree,6,4,3.75,9,1,.68235463
29,Male,France,0,1,Strongly agree,Strongly agree,7,6,4,6,1,.95855755
21,Male,Chile,0,1,Agree,Agree,7,7,1.25,7,1,.57289875
24,Male,Austria,1,1,Strongly agree,Strongly agree,7,6,2.25,7,1,.50535923
47,Male,Greece,0,1,Agree,Strongly agree,4,4,1.75,10,1,.68794143
29,Male,Austria,0,1,Agree,Agree,8,6,2.5,7,1,.51267195
32,Female,Mexico,,0,Strongly agree,Strongly agree,8,8,1.75,0,0,.75356966
59,Female,Greece,0,1,Strongly agree,Agree,7,7,3.5,3,0,.84106076
18,Female,Mexico,,0,Strongly agree,Strongly agree,7,8,2.75,3,0,.7829603
44,Male,Greece,0,1,Agree,Agree,6,8,2,8,1,.56779307
37,Female,Turkey,,0,Strongly agree,Strongly agree,10,10,5,0,0,.55341142
34,Male,Germany,0,1,Disagree,Strongly agree,8,6,2,6,1,.73234403
28,Male,Austria,0,1,Agree,Agree,3,3,2,5,1,.89400834
18,Female,Chile,,1,Strongly disagree,Strongly agree,8,8,3.25,4,0,.63178229
20,Male,Sweden,,0,Strongly agree,Strongly agree,1,3,4,9,1,.76168048
41,Female,Australia,0,1,Agree,Strongly agree,9,8,3.5,3,0,.82934922
60,Female,Turkey,0,1,Strongly agree,Strongly agree,8,7,2.5,4,0,.92027271
24,Female,Chile,,0,Strongly agree,Strongly agree,6,8,4.5,3,0,.59883201
33,Male,Italy,1,1,Strongly agree,Strongly agree,7,6,1.75,9,1,.88655621
31,Female,Romania,1,1,Strongly agree,Strongly agree,10,10,2,0,0,.85832959
29,Female,Chile,0,1,Strongly agree,Strongly disagree,7,4,1,0,0,.94503117
39,Female,Romania,0,1,Strongly agree,Agree,10,10,2,2,0,.80709082
32,Male,Brazil,0,1,Strongly agree,Strongly agree,9,7,2.25,9,1,.68934715
27,Male,Chile,0,1,Strongly agree,Strongly agree,10,8,3,4,1,.97556591
28,Female,Australia,0,1,Strongly agree,Agree,8,8,4,2,0,.88198966
21,Male,Germany,,0,Disagree,Disagree,8,6,1.5,9,1,.85445172
27,Male,Argentina,0,1,Strongly agree,Strongly agree,10,8,1.25,10,1,.68018204
33,Male,Italy,0,1,Strongly agree,Agree,0,1,2.75,6,1,.55884415
20,Female,Chile,,0,,Agree,9,10,1.5,1,0,.51441729
45,Female,Australia,0,1,Agree,Strongly agree,8,6,3.75,1,0,.87541831
45,Male,UK,1,1,Agree,Agree,10,6,4.25,9,1,.94547921
28,Male,Denmark,,1,Strongly agree,Strongly agree,7,8,2.75,7,1,.84949011
23,Male,Italy,1,1,Agree,Agree,6,1,1,8,1,.65014249
37,Female,Greece,0,1,Strongly agree,Strongly agree,8,6,3.75,2,0,.50867915
58,Male,Turkey,,0,Agree,Agree,5,5,1,10,1,.58968997
27,Female,Mexico,0,1,Agree,Strongly agree,10,10,1,2,0,.98138094
57,Female,Turkey,0,1,Strongly agree,Disagree,5,4,2.5,1,0,.90383208
44,Male,UK,,0,Agree,Agree,2,2,3.75,5,1,.93248421
22,Male,France,,1,Strongly agree,Disagree,6,7,3.25,6,1,.72407442
28,Female,Australia,1,1,Strongly agree,Strongly agree,7,7,3.75,3,0,.54971236
19,Male,Italy,,0,Agree,Strongly agree,7,5,2,2,1,.61569989
63,Male,Netherlands,0,1,Strongly agree,Agree,4,2,4.5,7,1,.56078583
42,Female,Turkey,0,1,Agree,Agree,10,5,2.75,0,0,.91905975
28,Female,Mexico,0,1,Strongly agree,Strongly agree,5,10,4,6,0,.67791218
23,Female,Chile,,0,Agree,Strongly agree,3,9,4.25,0,0,.52095604
21,Female,Chile,,0,Strongly agree,Strongly agree,4,4,3.75,5,0,.85558468
21,Male,Mexico,1,1,Agree,Agree,7,6,2,8,1,.66973114
47,Male,Greece,1,1,Agree,Strongly agree,8,7,1.5,9,1,.79020327
32,Female,Turkey,0,1,Agree,Agree,10,10,4,0,0,.87223232
36,Female,Australia,0,1,Strongly agree,Strongly agree,7,8,4.5,2,0,.95439595
27,Female,Chile,,0,Strongly agree,Strongly agree,5,5,2,2,0,.69068587
54,Male,Czech Republic,0,1,Strongly agree,Agree,5,5,2,7,1,.94838655
25,Male,Italy,1,1,Strongly agree,Agree,6,3,2,7,1,.57035756
31,Female,Mexico,1,1,Agree,Agree,10,9,2.25,2,0,.69986504
28,Female,Mexico,0,1,Strongly agree,Strongly agree,9,5,1.25,1,0,.61005431
61,Female,Turkey,,0,Strongly agree,Agree,7,7,1.75,5,0,.70629162
33,Female,Mexico,1,1,Strongly agree,Strongly agree,5,8,1.5,3,0,.63838571
25,Male,Austria,0,1,Agree,Agree,7,8,3.25,6,1,.88168114
29,Male,Turkey,0,1,Agree,Disagree,8,8,3.75,10,1,.80282539
28,Female,Chile,,0,Strongly agree,Strongly agree,5,4,2,5,0,.82625717
29,Male,Austria,0,1,Strongly agree,Strongly agree,8,7,1.5,7,1,.96109605
58,Female,Denmark,0,1,Strongly agree,Agree,8,9,2.5,2,0,.71149957
28,Female,Mexico,0,1,Agree,Strongly agree,7,10,2,0,0,.55403966
29,Male,Spain,1,1,Disagree,Strongly agree,10,10,1.25,10,1,.88743389
23,Female,Chile,,0,Strongly agree,Strongly agree,7,9,3.75,1,0,.65949464
29,Female,Chile,,0,Agree,Disagree,6,6,3,0,0,.96165633
39,Female,Greece,0,1,Strongly agree,Agree,5,7,4,2,0,.59170175
24,Male,Portugal,0,1,Strongly agree,Strongly agree,5,2,2,5,1,.88926864
40,Female,Turkey,,0,Agree,Agree,8,6,5,3,0,.71200365
28,Female,Mexico,0,1,Agree,Agree,4,7,1.75,0,0,.93795162
26,Female,Turkey,1,1,Agree,Agree,9,5,2,0,0,.75880116
58,Male,Greece,,0,Agree,Strongly agree,6,5,4.5,10,1,.72556859
33,Female,Chile,0,1,Strongly agree,Strongly agree,10,4,2.75,2,0,.84934014
28,Male,Chile,0,1,Strongly agree,Strongly agree,8,6,2,10,1,.90477222
58,Female,Greece,,0,Strongly agree,Strongly agree,6,5,2.25,0,0,.55256647
23,Female,Argentina,,0,Strongly agree,Strongly agree,10,8,2.5,0,0,.65115708
55,Male,Romania,1,1,Strongly agree,Agree,7,6,2.75,7,1,.76170808
31,Female,Turkey,0,1,Agree,Agree,10,10,1.75,0,0,.65676534
26,Female,Turkey,0,1,Strongly agree,Agree,6,1,5,2,0,.94308919
22,Female,Mexico,,0,Strongly agree,Strongly agree,7,7,2.25,1,0,.60682327
40,Female,Turkey,,0,Strongly disagree,Agree,9,3,3,0,0,.84259218
33,Male,Italy,,0,Agree,Agree,8,6,1,9,1,.67822784
25,Female,Turkey,,0,Agree,Agree,10,10,4.5,0,0,.69610584
55,Female,Turkey,0,1,Strongly agree,Disagree,5,1,2,0,0,.72939122
44,Female,Turkey,,0,Strongly agree,Agree,4,4,4.25,0,0,.84625721
32,Male,Sweden,1,1,Agree,Agree,3,6,2.25,8,1,.57865322
24,Female,Chile,0,1,Strongly agree,Strongly agree,5,5,3.25,2,0,.83684784
62,Male,Australia,0,1,Strongly agree,Strongly agree,7,5,1.75,6,1,
52,Female,Turkey,0,1,Strongly agree,Strongly agree,3,6,1.75,6,0,.77786165
36,Male,Australia,1,1,Disagree,Agree,5,5,2,5,1,
22,Female,Mexico,0,1,Strongly agree,Strongly agree,8,7,3.25,4,0,.6222176
41,Male,Turkey,1,1,Strongly agree,Strongly agree,8,8,2,7,1,.89214528
36,Female,Turkey,,0,Agree,Agree,6,6,4,0,0,.60975343
29,Male,Chile,0,1,Strongly agree,Strongly disagree,6,7,4.25,1,1,.95958
34,Female,Turkey,,0,,Agree,10,10,4.75,0,0,.91873479
47,Female,Romania,0,1,Agree,Agree,8,7,2.25,2,0,.75092107
25,Female,Chile,1,1,Strongly disagree,Agree,4,3,1.5,3,0,.87753558
31,Male,Turkey,0,1,Strongly agree,Strongly agree,10,1,3,7,1,.80627471
24,Female,Mexico,0,1,Strongly agree,Strongly agree,9,9,3,3,0,.97543597
27,Male,Italy,,0,Strongly agree,Strongly agree,7,1,2.25,6,1,.54433888
27,Male,Austria,0,1,Disagree,Disagree,7,7,3,7,1,.95081425
38,Female,Romania,0,1,Strongly agree,Agree,5,7,1.75,1,0,.50263852
31,Female,Mexico,0,1,Strongly agree,Strongly agree,9,8,4.5,0,0,.65314996
22,Male,Mexico,,0,Agree,Agree,9,7,2,7,1,.57178807
25,Female,Turkey,0,1,Strongly agree,Strongly agree,8,8,2.75,0,0,.99955201
39,Male,Australia,0,1,Agree,Agree,8,7,2.25,9,1,
18,Male,Czech Republic,,0,Agree,Agree,9,6,1.75,5,1,.99825197
25,Male,Italy,,0,Strongly disagree,Agree,5,3,2,8,1,.73362893
56,Female,Turkey,,0,Agree,Agree,9,10,1.5,2,0,.76325929
20,Female,Chile,,0,Strongly disagree,Strongly disagree,5,5,3.75,5,0,.65323323
29,Male,Chile,0,1,Strongly agree,Agree,5,5,1.5,10,1,.58610344
32,Female,Mexico,0,1,Strongly agree,Strongly agree,10,10,1,2,0,.87047315
36,Female,Malaysia,1,1,Agree,Agree,7,7,4.5,4,0,.69315982
32,Male,Finland,1,1,Agree,Strongly agree,8,7,3,8,1,.76383722
27,Male,Turkey,1,1,Strongly disagree,Disagree,8,7,3.25,6,1,.50981045
33,Male,Austria,0,1,Strongly agree,Strongly agree,5,5,2,7,1,.96690804
30,Male,Austria,0,1,Agree,Disagree,6,3,2.25,8,1,.54200125
33,Male,Chile,1,1,Strongly agree,Strongly agree,8,8,2,5,1,.55091667
51,Male,Greece,0,1,Strongly agree,Strongly agree,5,7,2,8,1,.9560765
29,Male,Norway,0,1,Agree,Agree,10,7,4.25,7,1,.76687551
28,Female,Turkey,,0,Strongly disagree,Agree,6,9,4,5,0,.80809534
33,Female,Chile,1,1,Strongly agree,Agree,7,7,3,2,0,.80508316
33,Female,Turkey,0,1,Strongly agree,Strongly agree,10,10,1,0,0,.5773508
25,Female,Chile,,0,Strongly agree,Strongly agree,7,6,2.5,6,0,.98904437
54,Male,Turkey,,1,Strongly disagree,Agree,7,7,2,8,1,.57394272
41,Female,China,0,1,Agree,Strongly agree,7,6,4.25,4,0,.54387426
59,Male,Turkey,,0,Agree,Strongly agree,5,7,2.75,6,1,.632119
39,Female,Turkey,1,1,Agree,Agree,10,9,3,2,0,.56780452
34,Male,Turkey,0,1,Strongly agree,Strongly agree,10,10,2,10,1,.78746223
33,Male,Italy,0,1,Strongly agree,Strongly agree,2,3,2.75,7,1,.55091172
25,Male,France,1,1,Agree,Agree,8,7,2,9,1,.62710321
31,Female,Chile,1,1,Strongly agree,Agree,5,8,1.5,0,0,.51298648
39,Female,Australia,0,1,Strongly agree,Strongly agree,8,4,4.5,5,0,.61969841
31,Male,Argentina,0,1,Agree,Strongly agree,10,10,2,10,1,.74712747
24,Male,Mexico,0,1,Disagree,,8,9,1.75,8,1,.70028657
25,Female,Mexico,0,1,Strongly agree,Strongly agree,5,5,3.75,3,0,.89655453
40,Male,Turkey,0,1,Agree,Strongly agree,7,8,4,10,1,.88571835
30,Male,Italy,0,1,Strongly agree,Strongly agree,7,7,2.25,9,1,.98405898
50,Male,Turkey,0,1,Strongly disagree,Strongly agree,7,7,2,7,1,.76905775
32,Male,Spain,0,1,Agree,Strongly agree,10,10,1.25,10,1,.52518159
24,Female,Chile,,0,Agree,,10,1,2.5,0,0,.54947698
19,Female,Mexico,0,1,Strongly agree,Strongly agree,10,8,3.25,3,0,.72630501
23,Female,Mexico,,0,Strongly agree,Strongly agree,7,9,1.75,5,0,.97039872
46,Male,UK,0,1,Agree,Strongly agree,8,8,4,5,1,.5359
59,Male,Turkey,0,1,Agree,Disagree,8,7,3.5,10,1,.80957115
41,Female,Turkey,0,1,Strongly agree,Strongly agree,10,9,1.75,0,0,.99631327
31,Male,Turkey,1,1,Agree,Agree,7,8,2.5,9,1,.56464416
25,Male,Italy,,0,Disagree,Disagree,7,7,1.75,3,1,.52240819
30,Male,Mexico,0,1,Agree,Strongly agree,9,8,1.75,10,1,.98960102
28,Female,Greece,0,1,Strongly agree,Strongly agree,6,6,2.5,1,0,.69183606
28,Female,Mexico,0,1,Strongly agree,Agree,7,5,3,2,0,.6081754
52,Male,Czech Republic,,0,Strongly agree,Strongly agree,5,1,5,7,1,.89655107
31,Male,France,0,1,Strongly agree,Strongly agree,8,8,1.5,7,1,.58028108
31,Male,Argentina,,0,Strongly agree,Strongly agree,6,6,3,7,1,.78428501
28,Male,Sweden,0,1,Strongly agree,Strongly agree,5,4,3,6,1,.76519561
